index,amount of compares,size of array
464,57438,465
465,56132,466
466,53790,467
467,54358,468
468,56693,469
469,54236,470
470,55146,471
471,57475,472
472,54543,473
473,56066,474
474,57489,475
475,56567,476
476,55915,477
477,57266,478
478,57348,479
479,61371,480
480,56059,481
481,58596,482
482,58842,483
483,56307,484
484,55845,485
485,59587,486
486,60597,487
487,60429,488
488,61293,489
489,62106,490
490,60742,491
491,62248,492
492,57812,493
493,60198,494
494,62741,495
495,63641,496
496,60229,497
497,65282,498
498,60717,499
499,60828,500
500,61489,501
501,63410,502
502,64072,503
503,64821,504
504,60386,505
505,60782,506
506,63634,507
507,65115,508
508,64299,509
509,61837,510
510,65224,511
511,64325,512
512,68781,513
513,66598,514
514,64998,515
515,66397,516
516,64696,517
517,65154,518
518,66158,519
519,65778,520
520,63533,521
521,67207,522
522,67888,523
523,69261,524
524,70883,525
525,69825,526
526,65372,527
527,67149,528
528,65757,529
529,69177,530
530,71807,531
531,73784,532
532,70569,533
533,69916,534
534,70246,535
535,71203,536
536,71332,537
537,71636,538
538,75458,539
539,74046,540
540,75481,541
541,78306,542
542,73542,543
543,71376,544
544,72720,545
545,68417,546
546,71264,547
547,73283,548
548,74998,549
549,76404,550
550,75238,551
551,76394,552
552,75900,553
553,75010,554
554,75834,555
555,71274,556
556,75546,557
557,79264,558
558,74575,559
559,78059,560
560,76916,561
561,81567,562
562,80015,563
563,77604,564
564,81693,565
565,78553,566
566,82019,567
567,79297,568
568,81723,569
569,84069,570
570,79782,571
571,80958,572
572,81489,573
573,80537,574
574,81672,575
575,85045,576
576,85983,577
577,81221,578
578,83379,579
579,88578,580
580,82547,581
581,81742,582
582,85593,583
583,83577,584
584,80869,585
585,85455,586
586,86739,587
587,87388,588
588,85866,589
589,85024,590
590,86621,591
591,87172,592
592,88297,593
593,90287,594
594,89117,595
595,87111,596
596,89345,597
597,90397,598
598,87975,599
599,87953,600
600,88580,601
601,92606,602
602,90681,603
603,90157,604
604,90169,605
605,91570,606
606,88260,607
607,90817,608
608,93188,609
609,94681,610
610,92351,611
611,95635,612
612,89586,613
613,93083,614
614,98801,615
615,91047,616
616,93844,617
617,95458,618
618,91792,619
619,98170,620
620,98744,621
621,99971,622
622,99177,623
623,92800,624
624,98583,625
625,93798,626
626,97323,627
627,96978,628
628,98728,629
629,96161,630
630,96710,631
631,97616,632
632,96151,633
633,101186,634
634,101320,635
635,98108,636
636,100539,637
637,101156,638
638,98332,639
639,100430,640
640,99181,641
641,104897,642
642,102139,643
643,103061,644
644,100362,645
645,105747,646
646,107236,647
647,105935,648
648,104195,649
649,105275,650
650,105594,651
651,106968,652
652,103156,653
653,105429,654
654,106100,655
655,100776,656
656,103802,657
657,106189,658
658,108777,659
659,106800,660
660,113459,661
661,103703,662
662,112126,663
663,110948,664
664,106857,665
665,108750,666
666,114491,667
667,107686,668
668,107024,669
669,114781,670
670,117859,671
671,114920,672
672,111624,673
673,108693,674
674,116323,675
675,114098,676
676,119890,677
677,117522,678
678,119395,679
679,108454,680
680,114752,681
681,118958,682
682,116955,683
683,112960,684
684,122183,685
685,118279,686
686,115385,687
687,117478,688
688,115544,689
689,124783,690
690,116006,691
691,117501,692
