index,amount of compares,size of array
473,5584,474
474,5134,475
475,5588,476
476,4725,477
477,4971,478
478,5219,479
479,5442,480
480,5113,481
481,5520,482
482,6050,483
483,4775,484
484,5013,485
485,5384,486
486,5090,487
487,5182,488
488,5251,489
489,5319,490
490,5048,491
491,5242,492
492,5336,493
493,5141,494
494,5521,495
495,5206,496
496,5946,497
497,5091,498
498,4972,499
499,5411,500
500,5548,501
501,5411,502
502,5591,503
503,5121,504
504,5178,505
505,5677,506
506,5456,507
507,5936,508
508,5722,509
509,5325,510
510,5366,511
511,5247,512
512,5707,513
513,5323,514
514,5721,515
515,6278,516
516,5628,517
517,5585,518
518,5277,519
519,5461,520
520,5464,521
521,6515,522
522,5834,523
523,5607,524
524,5715,525
525,5782,526
526,6286,527
527,6005,528
528,5316,529
529,5911,530
530,5777,531
531,5644,532
532,5484,533
533,5863,534
534,5619,535
535,5588,536
536,5544,537
537,5757,538
538,5750,539
539,6256,540
540,6838,541
541,5770,542
542,5777,543
543,5782,544
544,6012,545
545,5326,546
546,6178,547
547,6262,548
548,6244,549
549,6167,550
550,5964,551
551,6037,552
552,5978,553
553,6139,554
554,5967,555
555,5659,556
556,6037,557
557,6764,558
558,5854,559
559,6757,560
560,5766,561
561,6321,562
562,5972,563
563,6199,564
564,5906,565
565,6031,566
566,6462,567
567,6894,568
568,6052,569
569,5885,570
570,7207,571
571,6768,572
572,6170,573
573,6020,574
574,6065,575
575,6093,576
576,6479,577
577,6016,578
578,6285,579
579,6555,580
580,6269,581
581,5991,582
582,6003,583
583,6088,584
584,6146,585
585,6991,586
586,6628,587
587,6035,588
588,5970,589
589,6237,590
590,6438,591
591,6683,592
592,6754,593
593,6048,594
594,6253,595
595,6894,596
596,6578,597
597,6816,598
598,7228,599
599,6519,600
600,6553,601
601,6735,602
602,6939,603
603,6533,604
604,6227,605
605,6037,606
606,6628,607
607,6363,608
608,6351,609
609,7008,610
610,6589,611
611,6642,612
612,7023,613
613,6634,614
614,7049,615
615,7007,616
616,6467,617
617,6501,618
618,6863,619
619,6809,620
620,6552,621
621,7326,622
622,6959,623
623,7097,624
624,6978,625
625,6986,626
626,6728,627
627,7599,628
628,7536,629
629,7167,630
630,7207,631
631,6745,632
632,7640,633
633,6562,634
634,6550,635
635,6874,636
636,6952,637
637,6950,638
638,7288,639
639,7689,640
640,7025,641
641,6556,642
642,7519,643
643,7401,644
644,7841,645
645,6889,646
646,7026,647
647,6867,648
648,6916,649
649,7032,650
650,6770,651
651,7120,652
652,7406,653
653,7222,654
654,7381,655
655,7854,656
656,7517,657
657,7262,658
658,6940,659
659,6913,660
660,7368,661
661,7467,662
662,7225,663
663,7558,664
664,6824,665
665,6890,666
666,7175,667
667,7119,668
668,7250,669
669,7748,670
670,7441,671
671,7248,672
672,7981,673
673,7433,674
674,7532,675
675,7815,676
676,7233,677
677,7862,678
678,7922,679
679,7884,680
680,7463,681
681,7702,682
682,7877,683
683,8282,684
684,7785,685
685,7794,686
686,7917,687
687,7355,688
688,8087,689
689,8736,690
690,7277,691
691,7427,692
692,7604,693
693,8662,694
694,8858,695
695,7834,696
696,7786,697
697,7664,698
698,7868,699
699,7768,700
700,7762,701
701,7863,702
702,8269,703
703,8306,704
704,7612,705
705,7940,706
706,7770,707
707,7721,708
708,8098,709
709,7555,710
710,9074,711
711,7723,712
712,11066,713
713,7939,714
714,8079,715
715,7728,716
716,8194,717
717,8388,718
718,9224,719
719,8722,720
720,9806,721
721,8228,722
722,7855,723
723,7817,724
724,7966,725
725,9316,726
726,8406,727
727,8215,728
728,8084,729
729,8300,730
730,7861,731
731,8710,732
732,8681,733
733,7956,734
734,8594,735
735,7724,736
736,8529,737
737,9240,738
738,8311,739
739,8065,740
740,8894,741
741,8175,742
742,9062,743
743,7951,744
744,8134,745
745,8422,746
746,7894,747
747,8642,748
748,9042,749
749,8630,750
750,7873,751
751,9697,752
752,8374,753
753,8430,754
754,7921,755
755,8017,756
756,8312,757
757,8261,758
758,9331,759
759,7895,760
760,8345,761
761,9722,762
762,9447,763
763,9706,764
764,8458,765
765,10361,766
766,9543,767
767,10149,768
768,9744,769
769,8411,770
770,9593,771
771,9055,772
772,8449,773
773,8512,774
774,8916,775
775,9478,776
776,8742,777
777,9327,778
778,9416,779
779,9677,780
780,8421,781
781,8352,782
782,9467,783
783,10260,784
784,9426,785
785,8845,786
786,8850,787
787,8964,788
788,8467,789
789,8873,790
790,9063,791
791,10786,792
792,9695,793
793,10357,794
794,8719,795
795,10090,796
796,8900,797
797,9749,798
798,9349,799
799,10008,800
800,8665,801
801,9492,802
802,9384,803
803,10394,804
804,10157,805
805,9221,806
806,9204,807
807,9646,808
808,8947,809
809,9548,810
810,10174,811
811,9702,812
812,9421,813
813,9151,814
814,9793,815
815,10528,816
816,9429,817
817,10290,818
818,10756,819
819,9322,820
820,9287,821
821,10280,822
822,9617,823
823,9836,824
824,9786,825
825,10718,826
826,9725,827
827,9375,828
828,9643,829
829,9267,830
830,9257,831
831,9334,832
832,9505,833
833,9824,834
834,9641,835
835,9910,836
836,10268,837
837,9650,838
838,10236,839
839,9754,840
840,10725,841
841,10280,842
842,9015,843
843,9714,844
844,9335,845
845,10383,846
846,9684,847
847,9636,848
848,9965,849
849,10457,850
850,10235,851
851,9903,852
852,10219,853
853,10147,854
854,11944,855
855,10383,856
856,10739,857
857,9706,858
858,10278,859
859,10416,860
860,9767,861
861,10340,862
862,10129,863
863,10717,864
864,10619,865
865,10253,866
866,10734,867
867,10759,868
868,9961,869
869,9884,870
870,9791,871
871,10790,872
872,10828,873
873,10444,874
874,10374,875
875,11605,876
876,10635,877
877,11513,878
878,10354,879
879,10510,880
880,12871,881
881,10164,882
882,9781,883
883,11770,884
884,10744,885
885,10373,886
886,10567,887
887,9963,888
888,10182,889
889,9438,890
890,9980,891
891,10161,892
892,10762,893
893,10372,894
894,11057,895
895,11473,896
896,10114,897
897,11290,898
898,11283,899
899,10083,900
900,11071,901
901,11463,902
902,10399,903
903,11123,904
904,10234,905
905,11406,906
906,10893,907
907,10659,908
908,11858,909
909,10070,910
910,10878,911
911,11159,912
912,10367,913
913,10813,914
914,11248,915
915,11178,916
916,10480,917
917,11130,918
918,10552,919
919,10317,920
920,10668,921
921,10375,922
922,11059,923
923,10931,924
924,10115,925
925,10877,926
926,11558,927
927,11839,928
928,10897,929
929,10770,930
930,11322,931
931,11213,932
932,11779,933
933,11686,934
934,10975,935
935,10746,936
936,11405,937
937,11597,938
938,10900,939
939,12079,940
940,11280,941
941,11139,942
942,10815,943
943,11032,944
944,11384,945
945,11749,946
946,12369,947
947,11454,948
948,11273,949
949,11225,950
950,11918,951
951,11246,952
952,11728,953
953,11649,954
954,11055,955
955,11622,956
956,11337,957
957,11105,958
958,11503,959
959,11117,960
960,12061,961
961,11262,962
962,12031,963
963,11207,964
964,10994,965
965,11285,966
966,11034,967
967,12758,968
968,11425,969
969,11201,970
970,11470,971
971,11470,972
