index,amount of compares,size of array
473,5294,473
474,4696,474
475,4649,475
476,5236,476
477,5245,477
478,4957,478
479,5334,479
480,5719,480
481,4832,481
482,5257,482
483,5020,483
484,4931,484
485,5592,485
486,5110,486
487,5213,487
488,4959,488
489,5599,489
490,5072,490
491,5660,491
492,5427,492
493,5313,493
494,4914,494
495,5914,495
496,4925,496
497,5015,497
498,5313,498
499,5311,499
500,5776,500
501,5243,501
502,5216,502
503,5327,503
504,5210,504
505,5783,505
506,5151,506
507,5507,507
508,5085,508
509,5056,509
510,5905,510
511,5746,511
512,5250,512
513,5420,513
514,6015,514
515,5708,515
516,5363,516
517,5435,517
518,5633,518
519,5980,519
520,5945,520
521,5460,521
522,5989,522
523,5232,523
524,5636,524
525,5172,525
526,5148,526
527,6750,527
528,5645,528
529,5415,529
530,5486,530
531,6474,531
532,5910,532
533,5758,533
534,5690,534
535,5494,535
536,5695,536
537,5733,537
538,5748,538
539,5505,539
540,5817,540
541,5729,541
542,5741,542
543,5801,543
544,5547,544
545,6237,545
546,5982,546
547,5963,547
548,5659,548
549,5663,549
550,5977,550
551,5991,551
552,6143,552
553,6049,553
554,5718,554
555,6542,555
556,6272,556
557,6767,557
558,6145,558
559,6123,559
560,5683,560
561,6292,561
562,5674,562
563,6323,563
564,6349,564
565,6409,565
566,6204,566
567,5532,567
568,6521,568
569,6536,569
570,6629,570
571,6114,571
572,6329,572
573,5997,573
574,6298,574
575,5950,575
576,6491,576
577,6542,577
578,6572,578
579,6101,579
580,6378,580
581,5931,581
582,6362,582
583,6283,583
584,6355,584
585,7272,585
586,6222,586
587,6163,587
588,6372,588
589,5854,589
590,6637,590
591,6709,591
592,6392,592
593,6464,593
594,6007,594
595,6707,595
596,6971,596
597,6311,597
598,6328,598
599,6805,599
600,6564,600
601,6068,601
602,6676,602
603,6580,603
604,6468,604
605,6974,605
606,6926,606
607,6357,607
608,6118,608
609,7200,609
610,6460,610
611,6687,611
612,7058,612
613,6967,613
614,6915,614
615,7178,615
616,6718,616
617,7000,617
618,6875,618
619,6512,619
620,8247,620
621,7218,621
622,6678,622
623,6615,623
624,7509,624
625,7124,625
626,7077,626
627,6505,627
628,6617,628
629,7127,629
630,7461,630
631,6944,631
632,6594,632
633,7063,633
634,6778,634
635,6685,635
636,6955,636
637,7048,637
638,7858,638
639,7586,639
640,7481,640
641,6560,641
642,7930,642
643,7572,643
644,6946,644
645,6974,645
646,7180,646
647,6851,647
648,7655,648
649,7399,649
650,7452,650
651,7307,651
652,6924,652
653,8048,653
654,7384,654
655,7148,655
656,7548,656
657,7132,657
658,7608,658
659,7343,659
660,8153,660
661,7530,661
662,7575,662
663,8022,663
664,7596,664
665,7584,665
666,7823,666
667,7987,667
668,7330,668
669,7625,669
670,7256,670
671,7347,671
672,7303,672
673,7701,673
674,7963,674
675,7417,675
676,7518,676
677,7952,677
678,8573,678
679,8598,679
680,7732,680
681,7181,681
682,7463,682
683,7689,683
684,7519,684
685,8562,685
686,7925,686
687,8986,687
688,7350,688
689,7740,689
690,7297,690
691,7653,691
692,7509,692
693,9144,693
694,8020,694
695,7772,695
696,8312,696
697,8900,697
698,7646,698
699,7792,699
700,7379,700
701,8247,701
702,8143,702
703,7697,703
704,7650,704
705,8550,705
706,7246,706
707,8679,707
708,7981,708
709,7593,709
710,7832,710
711,7845,711
712,7886,712
713,7970,713
714,8278,714
715,8030,715
716,7918,716
717,7623,717
718,8343,718
719,8569,719
720,9036,720
721,8101,721
722,8782,722
723,9109,723
724,9058,724
725,8542,725
726,8335,726
727,8439,727
728,8674,728
729,7868,729
730,8570,730
731,8151,731
732,9275,732
733,8427,733
734,9216,734
735,8415,735
736,8691,736
737,8181,737
738,9253,738
739,8048,739
740,7937,740
741,8901,741
742,8549,742
743,9710,743
744,8266,744
745,7977,745
746,8653,746
747,8396,747
748,8926,748
749,8396,749
750,8938,750
751,8709,751
752,8073,752
753,8491,753
754,8814,754
755,9335,755
756,8454,756
757,8050,757
758,8632,758
759,8152,759
760,8288,760
761,8481,761
762,8661,762
763,8436,763
764,8664,764
765,8884,765
766,9581,766
767,9741,767
768,9253,768
769,8646,769
770,8610,770
771,8619,771
772,8549,772
773,9039,773
774,9275,774
775,8848,775
776,9226,776
777,9768,777
778,9665,778
779,9138,779
780,8952,780
781,8299,781
782,8457,782
783,8715,783
784,9983,784
785,8792,785
786,9307,786
787,9188,787
788,10080,788
789,9577,789
790,9383,790
791,10693,791
792,8955,792
793,9347,793
794,9436,794
795,8978,795
796,8893,796
797,8434,797
798,8356,798
799,9717,799
800,9275,800
801,9598,801
802,9939,802
803,8909,803
804,9998,804
805,9266,805
806,9426,806
807,8821,807
808,9608,808
809,9997,809
810,9765,810
811,9315,811
812,10199,812
813,9255,813
814,9206,814
815,10021,815
816,9537,816
817,10052,817
818,9757,818
819,10225,819
820,10229,820
