index,amount of elements,time,dbr
0,250,0.002,0.0
1,500,0.003,2.0
2,1000,0.005,1.5
3,2000,0.005,1.6666666666666667
4,4000,0.025,1.0
5,8000,0.079,5.0
6,16000,0.309,3.1599999999999997
7,32000,1.639,3.911392405063291
8,64000,8.609,5.3042071197411005
9,128000,35.099,5.252593044539354
10,256000,163.677,4.077012428853525
