index,amount of elements,time,dbr
0,250,0.0,0.0
1,500,0.0,0.0
2,1000,0.001,NaN
3,2000,0.0,Infinity
4,4000,0.001,0.0
5,8000,0.001,Infinity
6,16000,0.002,1.0
