index,amount of compares,size of array
464,53302,464
465,53209,465
466,53084,466
467,56533,467
468,55994,468
469,55751,469
470,54606,470
471,56530,471
472,53409,472
473,54986,473
474,58620,474
475,55161,475
476,58086,476
477,57644,477
478,61006,478
479,57753,479
480,55995,480
481,58052,481
482,56477,482
483,59544,483
484,57985,484
485,58071,485
486,59974,486
487,57100,487
488,58661,488
489,57816,489
490,60077,490
491,57701,491
492,60609,492
493,62800,493
494,61714,494
495,59317,495
496,61968,496
497,61044,497
498,64557,498
499,61845,499
500,62520,500
501,61660,501
502,60350,502
503,65598,503
504,66137,504
505,63062,505
506,61874,506
507,66974,507
508,60976,508
509,65907,509
510,65254,510
511,63461,511
512,64384,512
513,68213,513
514,68440,514
515,65313,515
516,68010,516
517,64633,517
518,66106,518
519,65278,519
520,63503,520
521,64549,521
522,67752,522
523,69332,523
524,70243,524
525,68583,525
526,68694,526
527,70058,527
528,71795,528
529,67217,529
530,68027,530
531,68379,531
532,70187,532
533,72661,533
534,73936,534
535,75160,535
536,72443,536
537,68063,537
538,71823,538
539,71911,539
540,72060,540
541,72837,541
542,72075,542
543,75869,543
544,71125,544
545,72621,545
546,75526,546
547,72781,547
548,74146,548
549,70106,549
550,74635,550
551,75935,551
552,75204,552
553,76679,553
554,80182,554
555,79977,555
556,76968,556
557,77002,557
558,77771,558
559,78506,559
560,78906,560
561,82406,561
562,81069,562
563,79526,563
564,77330,564
565,78278,565
566,78802,566
567,79697,567
568,79501,568
569,80432,569
570,79859,570
571,78988,571
572,82854,572
573,80531,573
574,79671,574
575,82667,575
576,87679,576
577,86399,577
578,80901,578
579,84047,579
580,83772,580
581,86284,581
582,83357,582
583,82909,583
584,87069,584
585,85167,585
586,86399,586
587,88313,587
588,86406,588
589,89479,589
590,86925,590
591,84429,591
592,86369,592
593,87688,593
594,83699,594
595,88067,595
596,93458,596
597,88490,597
598,89764,598
599,88875,599
600,86901,600
601,88066,601
602,92917,602
603,87522,603
604,89615,604
605,93966,605
606,90787,606
607,94646,607
608,91671,608
609,91510,609
610,91411,610
611,92896,611
612,98643,612
613,92859,613
614,93162,614
615,89540,615
616,96732,616
617,92918,617
618,95935,618
619,97393,619
620,97036,620
621,95198,621
622,92438,622
623,94189,623
624,97767,624
625,93648,625
626,99820,626
627,98664,627
628,102507,628
629,99353,629
630,95085,630
631,100122,631
632,99096,632
633,100968,633
634,103838,634
635,101833,635
636,95506,636
637,105531,637
638,102833,638
639,101999,639
640,101958,640
641,103801,641
642,105451,642
643,102074,643
644,105109,644
645,105158,645
646,104486,646
647,106676,647
648,102322,648
649,103732,649
650,99288,650
651,104735,651
652,107855,652
653,105378,653
654,105929,654
655,103656,655
656,111351,656
657,107818,657
658,106828,658
659,104659,659
660,105561,660
