index,amount of compares,size of array
462,106491,462
463,106953,463
464,107416,464
465,107880,465
466,108345,466
467,108811,467
468,109278,468
469,109746,469
470,110215,470
471,110685,471
472,111156,472
473,111628,473
474,112101,474
475,112575,475
476,113050,476
477,113526,477
478,114003,478
479,114481,479
480,114960,480
481,115440,481
482,115921,482
483,116403,483
484,116886,484
485,117370,485
486,117855,486
487,118341,487
488,118828,488
489,119316,489
490,119805,490
491,120295,491
492,120786,492
493,121278,493
494,121771,494
495,122265,495
496,122760,496
497,123256,497
498,123753,498
499,124251,499
500,124750,500
501,125250,501
502,125751,502
503,126253,503
504,126756,504
505,127260,505
506,127765,506
507,128271,507
508,128778,508
509,129286,509
510,129795,510
511,130305,511
512,130816,512
513,131328,513
514,131841,514
515,132355,515
516,132870,516
517,133386,517
518,133903,518
519,134421,519
520,134940,520
521,135460,521
522,135981,522
523,136503,523
524,137026,524
525,137550,525
526,138075,526
527,138601,527
528,139128,528
529,139656,529
530,140185,530
531,140715,531
532,141246,532
533,141778,533
534,142311,534
535,142845,535
536,143380,536
537,143916,537
538,144453,538
539,144991,539
540,145530,540
541,146070,541
542,146611,542
543,147153,543
544,147696,544
545,148240,545
546,148785,546
547,149331,547
548,149878,548
549,150426,549
550,150975,550
551,151525,551
552,152076,552
553,152628,553
554,153181,554
555,153735,555
556,154290,556
557,154846,557
558,155403,558
559,155961,559
560,156520,560
561,157080,561
562,157641,562
563,158203,563
564,158766,564
565,159330,565
566,159895,566
567,160461,567
568,161028,568
569,161596,569
570,162165,570
571,162735,571
572,163306,572
573,163878,573
574,164451,574
575,165025,575
576,165600,576
577,166176,577
578,166753,578
579,167331,579
580,167910,580
581,168490,581
582,169071,582
583,169653,583
584,170236,584
585,170820,585
586,171405,586
587,171991,587
588,172578,588
589,173166,589
590,173755,590
591,174345,591
592,174936,592
593,175528,593
594,176121,594
595,176715,595
596,177310,596
597,177906,597
598,178503,598
599,179101,599
600,179700,600
601,180300,601
602,180901,602
603,181503,603
604,182106,604
605,182710,605
606,183315,606
607,183921,607
608,184528,608
609,185136,609
610,185745,610
611,186355,611
612,186966,612
613,187578,613
614,188191,614
615,188805,615
616,189420,616
617,190036,617
618,190653,618
619,191271,619
620,191890,620
621,192510,621
622,193131,622
623,193753,623
624,194376,624
625,195000,625
626,195625,626
627,196251,627
628,196878,628
629,197506,629
630,198135,630
631,198765,631
632,199396,632
633,200028,633
634,200661,634
635,201295,635
636,201930,636
637,202566,637
638,203203,638
639,203841,639
640,204480,640
641,205120,641
642,205761,642
643,206403,643
644,207046,644
645,207690,645
646,208335,646
647,208981,647
648,209628,648
649,210276,649
650,210925,650
651,211575,651
652,212226,652
653,212878,653
654,213531,654
655,214185,655
656,214840,656
657,215496,657
658,216153,658
659,216811,659
660,217470,660
661,218130,661
662,218791,662
663,219453,663
664,220116,664
665,220780,665
666,221445,666
667,222111,667
668,222778,668
669,223446,669
670,224115,670
671,224785,671
672,225456,672
673,226128,673
674,226801,674
675,227475,675
676,228150,676
677,228826,677
678,229503,678
679,230181,679
680,230860,680
681,231540,681
682,232221,682
683,232903,683
684,233586,684
685,234270,685
686,234955,686
687,235641,687
688,236328,688
689,237016,689
690,237705,690
691,238395,691
692,239086,692
693,239778,693
694,240471,694
695,241165,695
696,241860,696
697,242556,697
698,243253,698
699,243951,699
700,244650,700
701,245350,701
702,246051,702
703,246753,703
704,247456,704
705,248160,705
706,248865,706
707,249571,707
708,250278,708
709,250986,709
710,251695,710
711,252405,711
712,253116,712
713,253828,713
714,254541,714
715,255255,715
716,255970,716
717,256686,717
718,257403,718
719,258121,719
720,258840,720
721,259560,721
722,260281,722
723,261003,723
724,261726,724
725,262450,725
726,263175,726
727,263901,727
728,264628,728
729,265356,729
730,266085,730
731,266815,731
732,267546,732
733,268278,733
734,269011,734
735,269745,735
736,270480,736
737,271216,737
738,271953,738
739,272691,739
740,273430,740
741,274170,741
742,274911,742
743,275653,743
744,276396,744
745,277140,745
746,277885,746
747,278631,747
748,279378,748
749,280126,749
750,280875,750
751,281625,751
752,282376,752
753,283128,753
754,283881,754
755,284635,755
756,285390,756
757,286146,757
758,286903,758
759,287661,759
760,288420,760
761,289180,761
762,289941,762
763,290703,763
764,291466,764
765,292230,765
766,292995,766
767,293761,767
768,294528,768
769,295296,769
770,296065,770
771,296835,771
772,297606,772
773,298378,773
774,299151,774
775,299925,775
776,300700,776
777,301476,777
778,302253,778
779,303031,779
780,303810,780
781,304590,781
782,305371,782
783,306153,783
784,306936,784
785,307720,785
786,308505,786
787,309291,787
788,310078,788
789,310866,789
790,311655,790
791,312445,791
792,313236,792
793,314028,793
794,314821,794
795,315615,795
796,316410,796
797,317206,797
798,318003,798
799,318801,799
800,319600,800
801,320400,801
802,321201,802
803,322003,803
804,322806,804
805,323610,805
806,324415,806
807,325221,807
808,326028,808
809,326836,809
810,327645,810
811,328455,811
812,329266,812
813,330078,813
814,330891,814
815,331705,815
816,332520,816
817,333336,817
818,334153,818
819,334971,819
820,335790,820
821,336610,821
822,337431,822
823,338253,823
824,339076,824
825,339900,825
826,340725,826
827,341551,827
828,342378,828
829,343206,829
830,344035,830
831,344865,831
832,345696,832
833,346528,833
834,347361,834
835,348195,835
836,349030,836
837,349866,837
838,350703,838
839,351541,839
840,352380,840
841,353220,841
842,354061,842
843,354903,843
844,355746,844
845,356590,845
846,357435,846
847,358281,847
848,359128,848
849,359976,849
850,360825,850
851,361675,851
852,362526,852
853,363378,853
854,364231,854
855,365085,855
856,365940,856
857,366796,857
858,367653,858
859,368511,859
860,369370,860
861,370230,861
862,371091,862
863,371953,863
864,372816,864
865,373680,865
866,374545,866
867,375411,867
868,376278,868
869,377146,869
870,378015,870
871,378885,871
872,379756,872
873,380628,873
874,381501,874
875,382375,875
876,383250,876
877,384126,877
878,385003,878
879,385881,879
880,386760,880
881,387640,881
882,388521,882
883,389403,883
884,390286,884
885,391170,885
886,392055,886
887,392941,887
888,393828,888
889,394716,889
890,395605,890
891,396495,891
892,397386,892
893,398278,893
894,399171,894
895,400065,895
896,400960,896
897,401856,897
898,402753,898
899,403651,899
900,404550,900
901,405450,901
902,406351,902
903,407253,903
904,408156,904
905,409060,905
906,409965,906
907,410871,907
908,411778,908
909,412686,909
910,413595,910
911,414505,911
912,415416,912
913,416328,913
914,417241,914
915,418155,915
916,419070,916
917,419986,917
918,420903,918
919,421821,919
920,422740,920
921,423660,921
922,424581,922
923,425503,923
924,426426,924
925,427350,925
926,428275,926
927,429201,927
928,430128,928
929,431056,929
930,431985,930
931,432915,931
932,433846,932
933,434778,933
934,435711,934
935,436645,935
936,437580,936
937,438516,937
938,439453,938
939,440391,939
940,441330,940
941,442270,941
942,443211,942
943,444153,943
944,445096,944
